ID,Name,Code,Description
334,Agriculture,INDSTGXYSQ,"The agriculture industries in the UK is a vital sector encompassing the cultivation of crops, livestock farming, and agribusiness. It plays a crucial role in supplying food, supporting rural communities, and contributing to the economy. British agriculture is known for its high standards of quality and sustainability, with farmers employing modern technology and practices to increase efficiency and reduce environmental impact. The sector is diverse, ranging from small family farms to large-scale c"
335,Accounting,INDSTOYID,"Recognizing excellence in financial stewardship and reporting, Accounting awards celebrate outstanding achievement in maintaining fiscal integrity and transparency within organisations. These accolades honour professionals who demonstrate exceptional expertise in managing accounts, auditing, and financial analysis, contributing to the integrity and efficiency of business operations."
336,Advertising,INDSTQT,"Certainly! Advertising awards in British English can be described as prestigious accolades bestowed upon individuals, agencies, or campaigns within the advertising industry for outstanding creativity, innovation, and effectiveness in promotional communications. These awards celebrate excellence in various categories such as print, digital, television, radio, and social media advertising, highlighting the best and most impactful work in the field."
337,Aerospace,INDSTIY,"The Sir Frank Whittle Medal: Recognizing outstanding contributions to aerospace engineering and innovation, this prestigious award honors individuals who have made significant advancements in propulsion systems or aeronautical engineering.  The Geoffrey de Havilland Award: Celebrating excellence in aircraft design and manufacturing, this accolade acknowledges individuals or teams who have demonstrated exceptional ingenuity, craftsmanship, and technical prowess in the field of aerospace."
338,Apparel & Accessories,INDSTXJB,"Recognising excellence in fashion and style, the Apparel & Accessories awards celebrate innovation, craftsmanship, and design in clothing, jewellery, and related accessories within the British fashion industry."
339,Automotive,INDSTCQ,"Car of the Year: An accolade bestowed upon the automobile deemed the most outstanding in its class, considering performance, innovation, and consumer appeal.  Manufacturer of the Year: Recognizing excellence in automotive production and advancement, this award celebrates the company that has demonstrated exceptional achievements in design, engineering, and market success."
340,Banking,INDSTODJD,"Banking awards recognise excellence within the financial sector, honouring institutions and individuals who demonstrate outstanding performance, innovation, and customer service in banking services and products."
341,Broadcasting,INDSTVXRR,"Broadcasting awards recognise excellence in television, radio, and digital media, honouring outstanding programming, creativity, and talent within the industry. These prestigious accolades celebrate innovation, quality content, and contributions to the cultural landscape of broadcasting in the UK."
342,Brokerage,INDSTKRTI,"Brokerage awards recognise excellence in the field of brokerage services, honouring firms and individuals who demonstrate outstanding performance, innovation, and client satisfaction within the financial industry. These accolades celebrate the achievements of brokerage firms and professionals who excel in areas such as customer service, investment advice, market analysis, and overall contribution to the financial markets"
343,Biotechnology,INDSTRNSS,"Recognising excellence in the field of biotechnology, these awards celebrate groundbreaking research, innovative technologies, and impactful advancements in the life sciences sector."
344,Cargo Handling,INDSTBRK,"Cargo Handling awards recognise excellence in the efficient and safe management of goods throughout the logistics chain, encompassing loading, unloading, storage, and transportation within ports, warehouses, and distribution centres."
345,Chemical,INDSTDPJR,"The Chemical Awards celebrate excellence in the field of chemistry, honouring groundbreaking research, innovation, and contributions to the advancement of chemical sciences. These prestigious accolades recognise the outstanding achievements of individuals and teams across various domains within the discipline, ranging from fundamental research to applied technologies with significant societal impact."
346,Computer,INDSTZBCG,"Best Processor Award: Recognising the most innovative and efficient central processing unit (CPU) in computing.  Graphics Excellence Prize: Honouring outstanding achievement in graphic processing units (GPUs) for superior visual performance.  Innovation in Hardware Design Trophy: Celebrating groundbreaking advancements in the physical design of computer components.  Software Development Distinction: Commending exceptional software engineering efforts, highlighting creativity and functionality."
